Proposing pull request,Joining organization,Opening issue,Creating repository,Answering discussion,Contributing in private repository,Committing,Submitting pull request review,Opening discussion,None
1,0,0,0,0,4,9,0,0,0
0,0,0,0,0,13,7,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1
6,0,2,9,0,7,6,0,0,0
1,0,0,0,0,12,5,1,0,0
2,0,0,0,0,17,18,0,0,0
4,0,0,0,0,0,14,6,0,0
4,0,1,1,0,0,14,3,0,0
20,0,6,0,1,38,106,14,0,0
5,0,4,0,0,19,14,2,0,0
1,0,2,1,0,1,17,1,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,7,1,0,0,0
6,0,1,0,0,0,12,0,0,0
2,0,0,0,0,0,5,1,0,0
1,0,0,0,0,0,150,1,0,0
0,0,0,0,0,0,17,0,0,0
0,0,0,0,0,9,6,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,5,0,0,0
0,0,2,0,0,25,2,9,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,23,9,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,4,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,2,0,0
0,0,0,0,0,0,3,0,0,0
0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,12,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,5,6,0,0
3,0,0,0,0,0,2,0,0,0
24,0,2,0,0,0,27,14,0,0
1,0,0,0,0,0,2,1,0,0
0,0,3,0,0,0,7,2,0,0
0,0,0,1,0,0,4,0,0,0
1,0,1,0,0,7,33,4,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,9,0,0,0
1,0,0,0,0,0,6,1,0,0
1,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,11,0,0,0
1,0,0,0,0,0,4,0,0,0
0,0,0,0,0,40,0,1,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,75,0,0,0,0
0,0,0,0,0,5,0,0,0,0
1,0,0,0,0,0,13,10,0,0
0,0,0,0,0,26,0,0,0,0
1,0,1,1,0,7,14,1,0,0
0,0,0,0,0,0,3,0,0,0
0,0,1,0,0,8,13,0,0,0
0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,4,1,1,0,0
0,0,1,0,0,16,0,0,0,0
1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,7,4,1,0,0
1,1,2,1,0,0,16,6,0,0
9,0,9,1,0,0,24,17,0,0
0,0,1,0,0,0,51,0,0,0
1,0,0,0,0,81,1,1,0,0
1,0,2,0,0,4,24,5,0,0
2,0,1,0,0,0,3,4,0,0
0,0,5,0,0,49,43,0,0,0
0,0,0,0,0,0,0,0,0,1
15,0,5,0,0,0,26,6,0,0
0,0,0,0,0,0,0,0,0,1
2,0,4,0,0,1,5,0,0,0
0,0,3,0,0,0,1,0,0,0
0,0,0,0,0,0,2,0,0,0
4,0,1,0,0,0,18,0,0,0
0,0,0,0,0,0,9,0,0,0
1,0,0,0,0,2,2,1,0,0
2,0,0,0,0,97,20,4,0,0
0,0,0,0,0,0,0,0,0,1
14,0,2,0,0,0,46,13,0,0
10,0,1,0,0,11,132,3,0,0
0,0,0,0,0,55,1,2,0,0
0,0,1,0,0,0,4,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,4,8,0,0,0
0,0,0,1,0,38,1,0,0,0
4,0,0,0,0,0,2,1,0,0
0,0,0,0,0,55,0,0,0,0
0,0,0,1,0,0,23,0,0,0
0,0,1,0,0,0,14,0,0,0
0,0,0,0,0,2,2,0,0,0
0,0,3,0,0,0,63,0,0,0
0,0,0,0,0,3,10,0,0,0
0,0,0,0,0,18,9,0,0,0
0,0,1,1,0,0,4,0,0,0
0,0,1,0,0,73,0,0,0,0
2,0,0,0,0,23,15,0,0,0
1,0,4,0,0,0,12,2,0,0
0,0,0,0,0,0,9,0,0,0
0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,9,2,0,0,0
0,0,0,0,0,1,3,3,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,17,0,0,0
1,0,0,0,0,0,2,4,0,0
0,0,0,0,0,0,22,0,0,0
0,0,4,0,0,2,10,1,0,0
1,0,2,3,0,0,95,0,0,0
3,0,0,3,0,24,48,0,0,0
0,0,0,2,0,0,17,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0
0,0,1,2,0,21,46,0,0,0
0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,6,21,0,0,0
0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,7,0,0,0,0
3,0,0,0,0,1,15,2,0,0
0,0,0,2,0,20,6,0,0,0
0,0,0,1,0,11,1,0,0,0
0,0,0,0,0,0,13,2,0,0
0,0,0,0,0,0,63,0,0,0
0,0,0,0,0,19,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,6,0,0,0
0,0,1,0,0,0,26,0,0,0
0,0,0,0,0,24,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,3,0,0,0
0,0,0,0,0,3,10,0,0,0
2,0,2,0,0,1,40,2,0,0
0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,2,12,1,0,0
14,0,2,0,0,1,19,8,0,0
0,0,0,1,0,82,6,0,0,0
6,0,0,0,0,1,11,4,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,24,7,0,0,0
1,0,1,1,0,1,22,1,0,0
0,0,0,0,0,0,21,4,0,0
0,0,0,0,0,0,9,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,17,0,0,0,0
0,0,0,0,0,31,0,0,0,0
0,0,0,0,0,0,6,0,0,0
30,0,8,1,0,0,77,0,0,0
3,0,0,1,0,9,57,12,0,0
0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,15,3,0,0,0
0,0,0,0,0,0,0,0,0,1
4,0,0,2,0,0,31,1,0,0
0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,9,0,0,0
0,0,0,0,0,0,11,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,6,2,1,0,0
1,0,0,1,0,0,79,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,24,1,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,37,2,0,0,0
3,0,0,1,0,3,46,0,0,0
1,0,2,0,0,0,3,2,0,0
3,0,1,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,22,1,0,0,0
1,0,1,1,0,11,3,4,0,0
0,1,1,9,0,13,172,0,0,0
