Proposing pull request,Joining organization,Opening issue,Creating repository,Answering discussion,Contributing in private repository,Committing,Submitting pull request review,Opening discussion,None
1,0,0,0,0,3,5,0,0,0
2,0,0,0,0,25,7,0,0,0
0,0,2,1,0,0,5,0,0,0
0,0,0,0,0,1,0,0,0,0
3,0,10,4,0,51,23,0,0,0
16,0,3,0,0,18,44,0,0,0
2,0,3,0,0,4,37,0,0,0
0,0,0,0,0,0,9,1,0,0
1,0,1,1,0,0,13,2,0,0
16,0,3,0,1,15,52,12,0,0
3,0,1,0,0,10,6,2,0,0
5,0,0,0,0,0,14,0,0,0
0,0,1,0,0,0,20,0,0,0
0,0,0,0,0,12,2,0,0,0
0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0
3,0,0,0,0,1,12,3,0,0
0,0,0,0,0,0,19,0,0,0
0,0,1,0,0,13,5,1,0,0
0,0,0,0,0,0,5,1,0,0
0,0,0,0,0,0,15,0,0,0
0,0,0,0,0,40,22,9,0,0
0,0,0,1,0,0,3,0,0,0
0,0,0,0,0,13,9,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,15,4,0,0,0
0,0,0,0,0,0,0,0,0,1
4,0,2,0,0,0,3,2,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,0,2,1,0,0
2,0,0,0,0,1,2,3,0,0
0,0,0,0,0,3,3,0,0,0
9,0,4,2,0,0,35,7,0,0
0,0,0,0,0,0,17,0,0,0
3,0,4,2,0,0,4,0,0,0
2,0,0,1,0,0,15,0,0,0
4,0,2,3,0,0,3,1,0,0
2,0,0,0,0,0,38,0,0,0
0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,11,2,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,10,0,0,0
3,0,0,0,0,72,6,0,0,0
0,0,0,0,0,0,3,0,0,0
1,0,0,0,0,47,10,0,0,0
1,0,0,0,0,0,7,2,0,0
2,0,0,0,0,3,4,1,0,0
0,0,0,0,0,0,0,0,0,1
2,0,4,0,0,8,12,4,0,0
2,0,0,0,0,0,6,0,0,0
0,0,0,0,0,4,6,0,0,0
2,0,0,1,0,4,14,1,0,0
0,0,0,0,0,0,2,0,0,0
0,0,0,1,0,13,10,0,0,0
0,0,0,0,0,84,2,2,0,0
0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,19,2,0,0,0
2,0,8,2,0,0,35,9,0,0
15,0,0,6,0,0,21,7,0,0
0,0,0,0,0,0,14,0,0,0
3,0,0,1,0,77,4,0,0,0
0,0,5,1,0,21,21,4,0,0
28,0,3,0,0,0,10,1,0,0
1,0,0,1,0,16,5,0,0,0
0,0,0,0,0,0,0,0,0,1
7,0,2,0,0,0,14,5,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0,0,0
1,0,1,0,0,0,7,0,0,0
0,0,2,0,0,0,2,0,0,0
2,0,2,1,0,0,30,2,0,0
0,0,0,0,0,0,23,0,0,0
4,0,0,0,0,0,8,1,0,0
0,0,0,0,0,159,0,0,0,0
0,0,1,2,0,0,15,0,0,0
6,0,5,0,0,0,36,10,0,0
3,0,5,8,0,4,0,3,0,0
0,0,0,0,0,18,1,3,0,0
0,0,0,0,0,17,40,0,0,0
0,0,1,0,0,0,3,0,0,0
0,0,0,0,0,0,16,0,0,0
0,0,0,2,0,3,9,0,0,0
1,0,1,1,0,8,43,0,0,0
33,0,4,1,0,0,30,3,0,0
0,0,0,3,0,34,41,0,0,0
0,0,1,1,0,1,15,0,0,0
0,0,1,1,0,0,9,0,0,0
1,0,2,1,0,0,27,3,0,0
0,0,0,0,0,0,4,0,0,0
18,0,0,1,0,3,21,0,0,0
2,0,1,0,0,16,9,1,0,0
1,0,0,2,0,2,85,0,0,0
1,0,0,0,0,7,6,0,0,0
2,0,0,1,0,9,8,0,0,0
8,0,4,0,0,0,50,0,0,0
0,0,0,0,0,0,13,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,36,0,1,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,23,0,0,0
4,0,0,0,0,0,5,7,0,0
0,0,0,0,0,0,40,1,0,0
0,0,10,0,0,1,14,0,0,0
0,0,0,0,0,0,35,0,0,0
0,0,0,0,0,8,13,0,0,0
1,0,0,1,0,1,34,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,3,0,0,0,0
0,0,1,0,0,22,48,0,0,0
1,0,0,0,0,0,4,0,0,0
0,0,1,1,0,0,1,0,0,0
0,0,0,0,0,27,35,0,0,0
0,0,0,0,0,0,9,0,0,0
0,0,0,0,0,25,0,0,0,0
0,0,0,0,0,3,0,0,0,0
2,0,0,0,0,0,5,0,0,0
0,0,0,0,0,42,3,0,0,0
1,0,2,0,0,0,42,0,0,0
0,0,0,1,0,0,33,2,0,0
2,0,0,1,0,0,124,0,0,0
1,0,0,0,0,8,13,0,0,0
0,0,0,0,0,0,7,2,0,0
0,0,0,0,0,0,3,0,0,0
0,0,1,0,0,0,19,0,0,0
0,0,0,0,0,0,18,8,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,20,25,1,0,0
0,0,0,0,0,1,4,0,0,0
3,0,1,0,0,1,17,0,0,0
0,0,0,0,0,0,1,0,0,0
1,0,2,1,0,0,30,2,0,0
6,0,2,1,0,92,16,3,0,0
