treatment,sponsors,repositories,sponsoring,openedPRs,reviewedPRs,followers,organizations,language
0,0,98,1,130,12,31,2,Python
0,0,48,0,41,0,15,1,Python
0,0,63,0,62,4,75,0,JavaScript
0,0,101,0,225,7,129,0,_Other
0,0,173,4,209,15,59,4,Python
0,0,138,0,299,9,26,3,PHP
0,0,122,0,785,25,222,1,_Other
0,0,9,0,29,0,5,0,_Other
0,0,100,0,400,185,114,3,Java
0,0,202,0,94,0,109,6,_Other
0,0,49,0,166,2,56,2,_Other
0,1,21,0,50,4,40,3,C++
0,0,63,0,92,68,35,1,Go
0,0,48,0,545,19,77,4,PHP
0,0,55,0,1650,5,331,6,PHP
0,0,121,0,39,1,204,0,Python
0,0,531,0,1124,72,957,0,Python
0,0,32,0,132,17,5,1,JavaScript
0,0,65,0,67,0,118,4,Python
0,0,12,0,63,0,146,2,_Other
0,0,28,0,29,2,23,1,Python
0,0,210,0,376,103,149,4,Go
0,1,336,13,1871,173,176,3,_Other
0,0,76,0,2569,5,151,3,Ruby
0,0,475,0,255,1,378,0,Go
0,0,78,0,18,0,35,3,JavaScript
0,0,243,0,288,0,103,7,JavaScript
0,0,183,0,67,0,33,3,JavaScript
0,0,93,0,550,1,107,6,JavaScript
0,0,56,0,62,0,82,0,C
0,0,191,0,554,12,160,7,C#
0,3,82,0,89,1,183,1,_Other
0,0,37,0,282,2,166,1,C
0,0,32,0,99,13,40,0,C++
0,0,34,1,138,43,88,0,JavaScript
0,0,38,1,53,4,111,14,JavaScript
0,0,111,0,344,2,42,0,Java
0,0,18,0,42,2,40,1,Java
0,0,98,0,52,1,508,2,JavaScript
0,0,167,0,307,83,145,10,JavaScript
0,0,189,0,300,6,90,2,C
0,0,71,0,111,0,77,5,Java
0,0,57,0,171,16,665,2,PHP
0,0,13,1,1209,324,130,1,PHP
0,3,55,0,428,111,172,7,JavaScript
0,4,35,0,265,16,346,1,PHP
0,0,64,3,175,1,25,3,PHP
0,0,99,8,490,20,323,4,Ruby
0,0,2138,0,619,0,40,0,JavaScript
0,0,98,0,106,6,64,3,JavaScript
0,0,315,1,890,178,1067,7,JavaScript
0,0,74,0,77,0,86,7,_Other
0,0,27,0,369,8,41,1,JavaScript
0,0,75,0,143,1,376,0,JavaScript
0,0,11,0,66,44,3,0,JavaScript
0,0,58,0,33,0,23,0,_Other
0,0,129,0,308,109,221,2,JavaScript
0,0,11,0,34,1,20,0,JavaScript
0,0,292,0,169,0,222,0,JavaScript
0,1,221,0,65,5,41,4,JavaScript
0,0,103,0,325,4,95,2,JavaScript
0,0,8,0,21,3,16,0,_Other
0,1,11,3,19,2,55,0,JavaScript
0,0,67,0,28,0,56,0,JavaScript
0,1,21,0,46,4,56,1,Python
0,0,173,0,1981,250,178,9,Go
0,1,112,0,410,50,178,5,_Other
0,0,50,0,54,0,18,4,JavaScript
0,0,197,0,1185,36,156,9,C++
0,1,58,0,233,4,40,2,Ruby
0,1,169,0,1806,82,1346,9,Ruby
0,0,191,0,227,0,251,4,JavaScript
0,0,88,0,233,31,88,13,JavaScript
0,0,110,0,469,7,112,2,Ruby
0,2,152,1,285,12,158,5,_Other
0,0,188,0,753,5,71,0,JavaScript
0,0,109,0,253,6,117,0,JavaScript
0,0,84,1,171,1,95,2,Python
0,1,89,0,105,4,1175,0,Go
0,1,363,1,1562,4,445,2,Python
0,0,126,0,436,5,34,0,JavaScript
0,0,20,0,50,8,47,8,_Other
0,0,41,0,21,0,41,1,_Other
0,0,152,0,366,11,147,6,JavaScript
0,0,58,0,419,0,36,0,JavaScript
0,0,101,0,142,0,168,1,_Other
0,0,181,0,81,0,837,1,Python
0,0,22,0,27,0,69,3,_Other
0,1,183,4,1200,71,1301,12,C#
0,0,133,0,261,39,286,7,JavaScript
0,0,146,0,146,0,48,3,JavaScript
0,0,116,0,243,14,75,2,Java
0,0,48,0,100,0,45,1,_Other
0,0,51,0,333,18,368,0,_Other
0,0,265,0,330,2,1052,14,_Other
0,1,177,0,692,18,128,10,_Other
0,0,60,1,107,0,52,3,JavaScript
0,0,21,0,11,0,11,2,_Other
0,0,30,0,1057,0,0,0,JavaScript
0,0,73,0,108,0,161,1,_Other
0,0,105,0,132,28,500,0,Python
0,0,69,0,61,26,101,0,_Other
0,0,258,0,247,6,320,14,_Other
0,0,83,0,223,1,42,5,_Other
0,0,43,0,63,7,91,0,Python
0,0,31,0,225,0,932,1,PHP
0,0,11,0,3,1,4,0,_Other
0,0,21,0,74,7,136,3,Python
0,0,82,0,108,4,78,0,Python
0,0,17,0,55,0,354,1,Java
0,0,51,0,76,1,90,1,JavaScript
0,0,62,0,197,5,211,3,Go
0,3,62,0,115,0,90,3,Python
0,0,86,0,89,0,72,1,JavaScript
0,0,144,0,467,14,69,3,Java
0,0,19,2,26,0,5,1,PHP
0,0,176,1,370,36,22,0,Python
0,1,129,8,504,13,513,18,PHP
0,0,278,0,476,44,138,4,JavaScript
0,0,66,0,26,0,90,0,C#
0,0,1747,1,989,7,249,1,Go
0,0,18,0,17,0,10,0,Python
0,0,63,0,15,0,36,0,Java
0,0,53,5,1597,503,228,3,PHP
0,1,55,0,303,12,211,5,Go
0,0,150,2,137,1,2433,0,Python
0,0,103,0,164,4,135,2,_Other
0,0,12,0,11,0,22,0,Python
0,0,49,0,404,101,73,14,PHP
0,1,190,0,601,1084,504,5,JavaScript
0,0,26,0,7,4,76,2,C
0,1,84,0,98,1,465,6,PHP
0,0,76,0,311,1,63,0,PHP
0,3,228,0,688,16,459,3,JavaScript
0,0,162,0,283,1,156,12,Ruby
0,0,788,0,2004,11,1777,44,JavaScript
0,1,424,0,273,88,483,17,JavaScript
0,0,9,0,311,1,19,0,Ruby
0,0,57,0,169,34,26,2,C++
0,0,36,0,97,0,168,2,JavaScript
0,0,98,0,243,5,46,7,PHP
0,0,199,0,2190,104,63,2,_Other
0,1,43,0,551,3,52,2,JavaScript
0,0,403,0,135,1,223,0,Ruby
0,0,19,0,15,12,559,1,C++
0,0,601,0,912,71,380,9,JavaScript
0,0,58,0,1186,3,69,1,_Other
0,3,102,0,334,47,315,0,JavaScript
0,0,4,0,1029,30,11,0,JavaScript
0,0,204,0,340,26,36,0,JavaScript
0,0,261,0,181,2,191,2,C++
0,0,125,1,19,0,90,0,C++
0,1,69,0,241,107,13,2,Python
0,0,265,0,683,0,225,1,JavaScript
0,0,60,0,57,0,25,1,JavaScript
0,0,25,0,78,0,49,0,_Other
0,0,54,0,117,0,128,2,PHP
0,0,162,0,385,98,113,6,PHP
